browser,url,timestamp,rumSpeedIndex.median,rumSpeedIndex.mean,rumSpeedIndex.stddev,firstPaint.median,firstPaint.mean,firstPaint.stddev,loadEvent.median,loadEvent.mean,loadEvent.stddev,fullyLoaded.median,fullyLoaded.mean,fullyLoaded.stddev,size.median,size.mean,size.stddev,Brave's fully loaded speedup,Brave's Load time speedup,Brave's bandwidth savings,page type
Brave,https://tmz.com,2019-11-02T22:18:08+00:00,3083,3197,227,3083,3197,227,8034,8006,71,8255,8616,601,2502806,2950001,133150.7903,83%,80%,72%,landing
Brave,https://uk.reuters.com,2019-11-02T22:32:13+00:00,2345,2145,360,2345,2145,360,5306,6078,1568,9493,8737,1614,719047,2763212,44080.08654,58%,62%,91%,landing
Brave,https://www.latimes.com/,2019-11-02T23:48:03+00:00,2329,2771,851,2329,2771,851,5065,4834,931,5547,5224,938,874067,1334428.333,61151.21083,57%,36%,61%,landing
Brave,https://www.cnet.com/,2019-11-02T23:54:29+00:00,2476,2700,348,2476,2700,348,3650,4461,1186,8866,9610,1076,1726823,3171113.667,278017.8396,38%,16%,51%,landing
Brave,https://www.yahoo.com,2019-11-03T00:01:52+00:00,2520,2528,421,2520,2528,421,11978,14363,6837,13109,15241,6751,1415887,1425895.667,27101.40552,0%,-15%,15%,landing
Brave,https://www.cnn.com,2019-11-03T00:09:27+00:00,4466,4283,1296,4466,4283,1296,7304,6916,1132,9241,8238,1425,1941672,2565338.667,44249.32254,58%,58%,51%,landing
Brave,https://www.espn.com,2019-11-03T00:23:12+00:00,,,,,,,,,,,,,,6481515.5,586.191522,#DIV/0!,#DIV/0!,#DIV/0!,landing
Brave,https://www.tmz.com/2019/09/03/youtuber-brooke-houts-no-charges-animal-cruelty-dog-abusing-video/,2019-11-03T00:41:33+00:00,2747,2623,190,2747,2623,190,4320,5413,1809,4499,6467,3033,2319882,2324515.667,132098.1051,88%,84%,60%,article
Brave,https://uk.reuters.com/video/2019/09/03/uk-pm-johnson-threatens-election-ahead-o?videoId=595311898&videoChannel=75,2019-11-03T00:53:08+00:00,2932,2719,527,2932,2719,527,5900,6521,1045,9863,9888,939,1125992,1339234.667,73352.38231,18%,35%,45%,article
Brave,https://www.vice.com/en_us/article/qvgnqq/tom-delonges-ufo-research-group-signs-contract-with-us-army-to-develop-far-future-tech,2019-11-03T01:00:13+00:00,3033,3167,460,3033,3167,460,10669,9080,3328,13044,11761,2872,2103888,1988520.667,313835.1467,26%,22%,24%,article
Brave,https://sport.bt.com/football/frank-lampards-chelsea-kids-travel-to-the-original-academy-looking-to-emulate-the-ajax-of-last-season-S11364403422250,2019-11-03T01:08:27+00:00,3450,12207,13271,3450,12207,13271,19178,25611,13204,19348,25784,13206,2909538,3128226.667,251911.3691,-3%,-22%,25%,article
Brave,https://www.salon.com/2019/09/01/planning-an-outdoor-barbecue-for-labor-day-follow-these-pro-tips-from-the-masters-of-the-craft/,2019-11-03T01:16:57+00:00,882,938,106,882,938,106,3071,3306,928,3235,3514,973,1678384,3009570.333,898995.1976,91%,90%,59%,article
Brave,https://www.vice.com,2019-11-02T22:40:40+00:00,2670,2935,400,2670,2935,400,4553,5999,2104,7995,8931,1723,1465251,1699526.667,338181.6755,53%,63%,47%,landing
Brave,https://www.thedailybeast.com/hbos-watchmen-is-a-spectacular-assault-on-white-supremacy,2019-11-03T01:27:11+00:00,1490,1457,58,1490,1457,58,8875,8888,478,9248,9308,474,1666853,1663428,211.395364,57%,50%,42%,article
Brave,https://www.buzzfeed.com/jasminsuknanan/things-to-help-make-your-room-more-adult-even-if-youre?origin=hpp,2019-11-03T01:35:06+00:00,1294,1289,56,1294,1289,56,5330,5489,1050,5521,5686,1054,1268087,2557637.333,91826.12461,65%,-3%,67%,article
Brave,https://www.independent.co.uk/news/world/asia/thai-king-royal-consort-titles-stripped-military-maha-vajiralongkorn-sineenat-a9165091.html,2019-11-03T01:42:43+00:00,1507,1464,139,1507,1464,139,5930,6297,894,11072,11258,287,2267419,5575664.333,1249915.327,78%,86%,78%,article
Brave,https://nypost.com/2019/10/21/dallas-tornado-leaves-damage-devastation-after-tearing-through-texas/,2019-11-03T01:57:32+00:00,2879,2916,674,2879,2916,674,16898,17774,2729,17775,18605,2676,6352315,8082238,632692.7556,70%,68%,68%,article
Brave,https://www.sfgate.com/living/article/Apple-employee-and-Bay-Area-native-cost-of-living-14548437.php,2019-11-03T02:13:46+00:00,2304,2359,181,2298,2356,180,4754,5349,1402,5421,6090,1235,1642503,5393034.333,393826.1688,86%,86%,80%,article
Brave,https://www.latimes.com/california/story/2019-10-21/power-outages-california-pge-and-southern-california-edison-shutoffs-fire-weather,2019-11-03T02:25:07+00:00,2064,2542,805,2064,2542,805,5266,5226,1138,5611,7209,3313,997741,1485489.667,73280.16502,66%,55%,70%,article
Brave,https://www.cnet.com/reviews/jabra-elite-active-65t-review/,2019-11-03T02:32:17+00:00,2337,2302,56,2337,2302,56,3996,4161,270,9553,9752,381,2074807,2208832.667,244603.2106,39%,24%,42%,article
Brave,https://news.yahoo.com/trump-clinton-gabbard-russian-agent-feud-185546791.html,2019-11-03T02:39:51+00:00,2523,2516,334,2523,2516,334,17932,23308,12739,20813,26313,12722,1923906,1977541,6457.620227,10%,-1%,12%,article
Brave,https://www.cnn.com/2019/10/21/middleeast/turkey-erdogan-nuclear-weapons-intl/index.html,2019-11-03T02:48:16+00:00,2977,3482,900,2977,3482,900,8595,9721,2035,8998,10012,2010,2376282,3780939,151482.6319,72%,67%,54%,article
Brave,https://www.espn.com/nba/story/_/id/27844219/nba-preview-2019-rankings-projections-big-questions-all-30-teams,2019-11-03T03:03:29+00:00,,,,,,,,,,,,,,4208756.5,72719.56848,#DIV/0!,#DIV/0!,#DIV/0!,article
Brave,https://sport.bt.com/,2019-11-02T22:48:00+00:00,3127,3415,974,3127,3415,974,6913,7378,1301,8277,8771,707,2140995,2487412.667,2058.208039,21%,16%,20%,landing
Brave,https://www.amazon.com/gcx/The-Halloween-Store/gfhz/events/ref=HWN19_GW_Desk_Bubbler_v1_EN_Store?categoryId=halloween&pf_rd_p=df38492c-e370-4baa-9c52-151952b6ea64&pf_rd_r=QRVJFCHM20T0MEV0CNN2&scrollState=eyJpdGVtSW5kZXgiOjAsInNjcm9sbE9mZnNldCI6LTk2MS4wNzgxMjV9&sectionManagerState=eyJibGFja2xpc3QiOnt9fQ%3D%3D,2019-11-03T03:22:11+00:00,2092,1998,261,2092,1975,239,3930,3651,404,8590,8547,836,2075282,2286056.333,498525.4555,-4%,-17%,6%,ecommerce
Brave,https://www.bestbuy.com/site/electronics/top-deals/pcmcat1563299784494.c?id=pcmcat1563299784494,2019-11-03T03:28:09+00:00,2849,2861,48,2849,2861,48,11784,11899,431,11977,12085,437,3768129,4120419.667,10951.01759,28%,-17%,14%,ecommerce
Brave,https://www.walmart.com/ip/Way-to-Celebrate-Halloween-White-Bag-of-Bones-Decoration-Set-of-12/44429200,2019-11-03T03:35:33+00:00,2590,2835,439,2590,2835,439,5670,6622,1418,9807,9577,1254,2485315,2781570.667,151326.5604,29%,44%,8%,ecommerce
Brave,https://www.target.com/c/halloween/-/N-5xt2o?lnk=Halloweenisalmo,2019-11-03T03:42:29+00:00,1343,1291,134,1343,1291,134,5122,5166,346,8861,8563,465,1853448,1976203.667,16031.73304,38%,40%,18%,ecommerce
Brave,https://www.etsy.com/featured/halloween-costumes-and-decor-ideas?ref=primary_hero,2019-11-03T03:49:14+00:00,2872,2877,61,2872,2877,61,5810,6218,648,6048,6462,664,1775296,1926650.667,60442.52258,42%,30%,15%,ecommerce
Brave,https://www.salon.com/,2019-11-02T22:54:38+00:00,897,952,88,897,952,88,1439,4090,3909,1611,4305,3964,202855,1044110.333,98755.82771,94%,94%,89%,landing
Brave,https://www.thedailybeast.com/,2019-11-02T23:03:45+00:00,1531,1506,137,1531,1506,137,6377,6532,273,6733,6910,269,1650117,4104807.333,420341.1007,48%,28%,32%,landing
Brave,https://www.buzzfeed.com/,2019-11-02T23:10:35+00:00,928,918,71,928,918,71,6506,7803,2859,6796,8084,2855,2318570,3057384.333,18995.90746,64%,60%,41%,landing
Brave,https://www.independent.co.uk/us,2019-11-02T23:18:46+00:00,915,894,35,915,894,35,6783,7281,1044,11048,10810,469,1932966,2467293,101049.6328,52%,61%,55%,landing
Brave,https://nypost.com/,2019-11-02T23:27:18+00:00,2514,2546,263,2514,2546,263,6118,6848,2533,7067,7756,2591,1704149,2673079.667,10886.13459,76%,76%,61%,landing
Brave,https://www.sfgate.com/,2019-11-02T23:36:58+00:00,2585,2423,281,2506,2373,246,6762,6701,157,6968,7193,346,2941111,5165355.333,498556.4165,80%,77%,69%,landing
