browser,url,timestamp,rumSpeedIndex.median,rumSpeedIndex.mean,rumSpeedIndex.stddev,firstPaint.median,firstPaint.mean,firstPaint.stddev,loadEvent.median,loadEvent.mean,loadEvent.stddev,fullyLoaded.median,fullyLoaded.mean,fullyLoaded.stddev,size.median,size.mean,size.stddev,Brave's Load time speedup,Brave's fully loaded speedup,Brave's bandwidth savings,page type
Brave,https://tmz.com,2019-10-31T18:43:58+00:00,3715,3592,325,3715,3592,325,9515,9469,621,12951,12917,580,3892300,3680072.667,177520.7433,,,,landing
Brave,https://uk.reuters.com,2019-10-31T18:51:12+00:00,1798,1829,297,1798,1829,297,2863,3682,1192,4917,6846,2889,1456556,974468.3333,278750.7727,,,,landing
Brave,https://www.latimes.com/,2019-10-31T19:48:05+00:00,2265,2341,183,2265,2341,183,3596,3530,98,3932,3929,5,595132,616027.6667,9.291573,,,,landing
Brave,https://www.cnet.com/,2019-10-31T19:54:28+00:00,3748,4204,840,3748,4204,840,4497,4728,726,10605,9838,1185,1584641,1747105.667,139726.6967,,,,landing
Brave,https://www.yahoo.com,2019-10-31T19:59:28+00:00,2081,3860,2598,2081,3860,2598,8934,9054,503,9382,9585,782,1380651,1350072,21428.29933,,,,landing
Brave,https://www.cnn.com,2019-10-31T20:07:00+00:00,2815,2809,21,2815,2809,21,4772,5354,870,6403,6520,178,1646868,1714077,129846.6677,,,,landing
Brave,https://www.espn.com,2019-10-31T20:17:48+00:00,,,,,,,,,,,,,,,,,,,landing
Brave,https://www.tmz.com/2019/09/03/youtuber-brooke-houts-no-charges-animal-cruelty-dog-abusing-video/,2019-10-31T20:34:38+00:00,2465,2482,104,2465,2482,104,3456,3496,68,3610,3651,76,1593114,1496685.667,19.218047,,,,article
Brave,https://uk.reuters.com/video/2019/09/03/uk-pm-johnson-threatens-election-ahead-o?videoId=595311898&videoChannel=75,2019-10-31T20:40:09+00:00,2615,2543,126,2615,2543,126,4058,4052,49,7708,7640,112,678929,667618,34388.13679,,,,article
Brave,https://www.vice.com/en_us/article/qvgnqq/tom-delonges-ufo-research-group-signs-contract-with-us-army-to-develop-far-future-tech,2019-10-31T20:45:38+00:00,2381,2498,370,2381,2498,370,4190,4368,476,7995,7920,409,1128793,1170018,73387.09579,,,,article
Brave,https://sport.bt.com/football/frank-lampards-chelsea-kids-travel-to-the-original-academy-looking-to-emulate-the-ajax-of-last-season-S11364403422250,2019-10-31T20:52:13+00:00,2598,2643,247,2598,2643,247,12440,12558,301,12587,12706,299,3396167,3481009.667,4326.953008,,,,article
Brave,https://www.salon.com/2019/09/01/planning-an-outdoor-barbecue-for-labor-day-follow-these-pro-tips-from-the-masters-of-the-craft/,2019-10-31T21:00:44+00:00,998,1028,182,998,1028,182,6627,5752,3254,6900,6114,3092,1230164,1562079.333,205854.0478,,,,article
Brave,https://www.vice.com,2019-10-31T18:56:12+00:00,3026,3119,508,3026,3119,508,4788,4944,610,7692,7688,63,1066396,1049850,664.810499,,,,landing
Brave,https://www.thedailybeast.com/hbos-watchmen-is-a-spectacular-assault-on-white-supremacy,2019-10-31T21:06:45+00:00,1597,1703,161,1597,1703,161,4518,4701,426,4864,5048,421,1165401,1032755,352.566306,,,,article
Brave,https://www.buzzfeed.com/jasminsuknanan/things-to-help-make-your-room-more-adult-even-if-youre?origin=hpp,2019-10-31T21:12:58+00:00,1648,1748,321,1648,1748,321,8266,7235,2379,11876,9564,3850,1357879,1348284.333,31252.38359,,,,article
Brave,https://www.independent.co.uk/news/world/asia/thai-king-royal-consort-titles-stripped-military-maha-vajiralongkorn-sineenat-a9165091.html,2019-10-31T21:24:51+00:00,1248,1543,514,1248,1543,514,4150,4316,485,9607,9844,518,2282241,2885205.667,356834.3248,,,,article
Brave,https://nypost.com/2019/10/21/dallas-tornado-leaves-damage-devastation-after-tearing-through-texas/,2019-10-31T21:39:07+00:00,3281,3309,267,3281,3309,267,9149,8659,1036,10226,9724,1063,6180283,5445766.333,16374.7521,,,,article
Brave,https://www.sfgate.com/living/article/Apple-employee-and-Bay-Area-native-cost-of-living-14548437.php,2019-10-31T21:49:27+00:00,2314,1878,953,2314,1833,1016,5199,4304,1787,6049,7492,2554,2945047,2270792.333,409489.2377,,,,article
Brave,https://www.latimes.com/california/story/2019-10-21/power-outages-california-pge-and-southern-california-edison-shutoffs-fire-weather,2019-10-31T21:55:50+00:00,2465,2615,482,2465,2615,482,3978,3565,585,4546,4241,588,595689,663489,114442.7014,,,,article
Brave,https://www.cnet.com/reviews/jabra-elite-active-65t-review/,2019-10-31T22:01:17+00:00,3180,3002,277,3180,3002,277,3518,3248,572,8175,8241,607,1875474,1985475.333,114487.8612,,,,article
Brave,https://news.yahoo.com/trump-clinton-gabbard-russian-agent-feud-185546791.html,2019-10-31T22:06:00+00:00,2148,2376,471,2148,2376,471,3464,4032,958,5991,6555,940,1954402,1992090,39394.93291,,,,article
Brave,https://www.cnn.com/2019/10/21/middleeast/turkey-erdogan-nuclear-weapons-intl/index.html,2019-10-31T22:13:15+00:00,3198,3031,248,3198,3031,248,8968,8606,960,9171,8798,971,2542347,2545038,100396.7672,,,,article
